date,open,high,low,close,avgPrice,volume,money,trans_num,possitive_buy_large_vol,possitive_sell_large_vol,possitive_buy_main_vol,possitive_sell_main_vol,possitive_buy_middle_vol,possitive_sell_middle_vol
2023-01-03 ,,390.08,389.58,390.08,389.816441,34000.0,13253759.0,221.0,1400.0,,4800.0,,6300.0,
2023-01-03 ,390.05,390.2,389.88,389.91,390.183636,31900.0,12446858.0,198.0,,4800.0,3000.0,2900.0,7600.0,3500.0
2023-01-03 ,389.83,389.83,388.5,389.24,389.307857,22400.0,,153.0,2000.0,1400.0,2800.0,2700.0,3000.0,3400.0
2023-01-03 ,389.24,389.53,389.09,389.35,389.264489,17322.0,6742839.48,119.0,1600.0,2100.0,700.0,,3800.0,800.0
2023-01-03 ,389.34,389.5,389.07,389.46,389.294523,14478.0,5636206.1,119.0,1500.0,,1000.0,,2300.0,
2023-01-03 ,389.06,389.46,389.06,389.1,389.264257,14800.0,5761111.0,106.0,,,,2200.0,2300.0,700.0
2023-01-03 ,389.1,389.29,388.88,389.29,389.064421,22756.0,8853549.96,119.0,5900.0,3700.0,2900.0,,3000.0,2800.0
2023-01-03 ,389.27,389.27,388.92,388.94,,11000.0,4279288.9,,1500.0,,1000.0,600.0,2200.0,1844.0
2023-01-03 ,388.92,389.0,,388.89,388.95565,20000.0,7779113.0,124.0,2500.0,2000.0,578.0,3922.0,2000.0,2300.0
2023-01-03 ,388.89,389.0,,388.93,,,5406299.28,,,2000.0,1600.0,600.0,3600.0,2100.0
2023-01-03 ,388.93,389.0,388.26,388.26,388.596774,34100.0,13251150.0,188.0,9300.0,,1400.0,3400.0,2600.0,11800.0
2023-01-03 ,388.25,388.25,388.0,388.01,388.110475,37900.0,14709387.0,234.0,,7000.0,1400.0,,7300.0,4200.0
2023-01-03 ,388.02,388.3,388.0,388.04,388.02662,41322.0,,174.0,14400.0,,5300.0,1500.0,,1200.0
2023-01-03 ,388.29,,388.04,388.59,388.307551,13698.0,5319036.84,79.0,,5400.0,600.0,,2300.0,1300.0
2023-01-03 ,388.58,389.27,388.58,389.27,388.917312,20962.0,8152484.7,107.0,,8000.0,900.0,,5016.0,
2023-01-03 ,388.93,389.29,388.73,388.75,389.002463,19600.0,7624448.28,128.0,,,2900.0,700.0,5000.0,4300.0
2023-01-03 ,388.6,388.75,388.0,388.34,,18000.0,6988653.0,123.0,,,,,2800.0,2400.0
2023-01-03 ,388.35,388.39,388.02,388.2,388.24712,12500.0,4853089.0,83.0,,1300.0,1200.0,600.0,1400.0,2200.0
2023-01-03 ,388.05,388.42,388.05,,388.152259,31650.0,12285019.0,129.0,14600.0,3300.0,2800.0,1605.0,1900.0,1200.0
2023-01-03 ,388.33,388.42,388.33,388.42,388.4205,22000.0,8545251.0,88.0,1800.0,11000.0,900.0,,,2800.0
2023-01-03 ,388.49,388.55,388.34,388.34,388.509803,47600.0,18493066.6,162.0,10700.0,17000.0,4000.0,,1800.0,6100.0
2023-01-03 ,388.42,388.62,388.34,388.6,,24900.0,9674242.0,93.0,5300.0,10700.0,800.0,,1100.0,700.0
2023-01-03 ,388.6,388.86,388.6,388.86,388.728027,14022.0,5450744.4,76.0,,7600.0,1700.0,,1700.0,1500.0
2023-01-03 ,388.88,388.93,388.7,388.91,388.844458,,6454818.0,104.0,,4100.0,,800.0,4100.0,1100.0
2023-01-03 ,388.8,389.16,,,388.984101,34662.0,13482966.9,143.0,,15500.0,2400.0,2800.0,3600.0,2200.0
2023-01-03 ,389.2,389.31,389.2,,389.278868,28700.0,,148.0,2990.0,9110.0,1000.0,2200.0,4000.0,
2023-01-03 ,389.31,389.33,388.77,388.83,389.141122,39338.0,15308033.47,179.0,19900.0,6100.0,2800.0,1200.0,3100.0,
2023-01-03 ,,388.92,388.8,388.9,,20000.0,7777074.0,105.0,5000.0,6400.0,1600.0,,1200.0,1300.0
2023-01-03 ,,388.9,388.7,,388.828848,19100.0,7426631.0,92.0,5000.0,,2200.0,1200.0,3700.0,700.0
2023-01-03 ,388.68,388.7,388.4,388.5,388.635635,16800.0,6529078.66,120.0,3000.0,,783.0,1000.0,4800.0,2500.0
2023-01-03 ,388.41,388.86,388.41,388.86,388.692371,33098.0,12864940.1,168.0,7381.0,6700.0,2100.0,2000.0,1900.0,3600.0
2023-01-03 ,388.86,388.9,388.55,388.55,388.865418,40981.0,15936093.7,167.0,4800.0,22900.0,4400.0,600.0,5500.0,
2023-01-03 ,388.55,,,388.54,388.417824,21600.0,8389825.0,137.0,,2900.0,3400.0,1600.0,4900.0,3100.0
2023-01-03 ,388.3,388.5,388.3,388.46,388.413214,14000.0,5437785.0,95.0,,2600.0,700.0,,,900.0
2023-01-03 ,388.49,388.66,388.46,,388.569045,11919.0,4631354.45,72.0,,3619.0,,2319.0,2200.0,500.0
2023-01-03 ,388.85,388.85,388.66,388.76,388.755385,9100.0,3537674.0,67.0,,1400.0,,1000.0,1100.0,
2023-01-03 ,388.84,388.85,388.55,388.55,388.752548,26300.0,10224192.0,,6100.0,4000.0,4000.0,,4400.0,4000.0
2023-01-03 ,388.65,388.66,388.45,388.63,388.58339,11800.0,4585284.0,88.0,,,1400.0,,1800.0,1900.0
2023-01-03 ,388.59,388.64,388.51,388.59,388.588661,12700.0,4935076.0,,,3000.0,,,1900.0,2300.0
2023-01-03 ,388.64,388.8,388.64,388.8,388.708394,19300.0,7502072.0,96.0,,7900.0,,3000.0,,1900.0
2023-01-03 ,388.81,,388.8,389.0,388.869586,29000.0,11277218.0,147.0,,,,4700.0,1400.0,2200.0
2023-01-03 ,389.02,,389.02,389.3,,,,,,1500.0,800.0,4700.0,2100.0,2800.0
2023-01-03 ,389.35,389.8,389.35,389.56,389.444915,23010.0,8961127.5,119.0,,9500.0,1000.0,3000.0,1500.0,3300.0
2023-01-03 ,389.75,389.9,389.5,389.9,389.781532,,21632875.0,217.0,5900.0,16700.0,4900.0,3900.0,4700.0,7300.0
